Age,Fare,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp_True,SibSp_False,SibSp_Unknown,Parch_True,Parch_False,Parch_Unknown
0.0375,0.08115719346076702,1,0,1,0,1,0,1,0,0,1,0,0
0.2375,0.01537917417160685,1,0,0,1,1,0,1,1,0,1,1,0
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.0125,0.030253985132996517,0,0,0,1,0,1,1,1,0,0,0,1
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.025,0.04231498029001666,0,0,0,1,0,1,1,1,0,0,0,1
0.225,0.034743286152731485,0,0,0,1,1,0,1,0,0,1,1,0
0.0875,0.07746484096553544,0,0,0,1,0,1,1,0,0,1,0,0
0.2625,0.01522458606692728,0,0,0,1,0,1,1,1,0,1,1,0
0.6125,0.1497654242623688,1,1,0,0,1,0,1,0,0,1,1,0
0.3625,0.050748620223090936,1,0,1,0,1,0,1,0,0,1,1,0
0.8125,0.1209753416358076,0,1,0,0,0,1,1,1,0,1,0,0
0.0,0.06929138530460492,1,1,0,0,0,1,1,1,0,0,0,1
0.2625,0.020494635090094415,1,0,1,0,1,0,1,1,0,1,1,0
0.35625,0.014110458666029575,0,0,0,1,0,1,1,1,0,1,1,0
0.0625,0.05416439273810667,1,0,1,0,1,0,1,0,0,1,0,0
0.1375,0.09154270340242172,0,0,0,1,0,1,1,0,0,1,0,0
0.275,0.014110458666029575,0,0,0,1,0,1,1,1,0,1,1,0
0.475,0.15614960068643363,1,1,0,0,1,0,1,1,0,1,1,0
0.5625,0.16293234896625058,0,1,0,0,0,1,1,0,0,1,1,0
0.05,0.05445717323939373,0,0,0,1,0,1,1,0,0,1,0,0
0.0,0.05410739813385612,0,1,0,0,0,1,1,1,0,0,0,1
0.0125,0.029757819776815374,1,0,0,1,0,1,1,0,0,0,0,1
0.3625,0.020494635090094415,1,0,1,0,1,0,1,1,0,1,1,0
0.2375,0.015923941091001644,0,0,0,1,0,1,1,1,0,1,1,0
0.2125,0.015468569817999833,1,0,0,1,1,0,1,0,0,1,0,0
0.325,0.016908073949327893,0,0,0,1,0,1,1,0,0,1,1,0
0.4,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.2,0.09154270340242172,0,0,0,1,1,0,1,0,0,1,0,0
0.2625,0.1434624456306609,0,0,1,0,0,1,1,1,0,1,1,0
0.325,0.028212719478023115,0,0,0,1,0,1,1,0,0,1,1,0
0.4,0.11027245763075773,1,0,0,1,0,1,1,1,0,1,1,0
0.3125,0.014931805565640218,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.010374999999999999,0.056604230248832196,1,0,1,0,0,1,1,1,0,1,0,0
0.375,0.024349578357040744,1,0,0,1,1,0,1,1,0,1,1,0
0.275,0.017566830077223785,0,0,0,1,0,1,1,1,0,1,1,0
0.3625,0.018542765081513996,1,0,0,1,0,1,1,1,0,1,1,0
0.0,0.015200187691820024,1,0,0,1,1,0,1,1,0,0,0,1
0.35,0.09193307740413781,0,1,0,0,0,1,1,1,0,1,1,0
0.2125,0.020494635090094415,1,0,1,0,1,0,1,1,0,1,1,0
0.4125,0.030937139635999665,1,0,0,1,1,0,1,0,0,1,1,0
0.2,0.06709553154495196,0,0,0,1,0,1,1,0,0,1,0,0
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.2875,0.5133418122566505,1,1,0,0,1,0,1,0,0,1,0,0
0.3,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.3625,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.25,0.015330377421392339,0,0,0,1,0,1,1,1,0,1,1,0
0.575,0.11940564777490723,0,1,0,0,0,1,1,0,0,1,1,0
0.325,0.04015972542654215,0,0,0,1,0,1,1,0,0,1,0,0
0.7375,0.014151057562208049,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.8875,0.06764049365134761,0,1,0,0,0,1,1,1,0,1,1,0
0.2875,0.12366716556464086,1,1,0,0,0,1,1,1,0,1,0,0
0.425,0.04489301019734967,1,0,1,0,1,0,1,1,0,1,0,0
0.425,0.050748620223090936,0,0,1,0,0,1,1,0,0,1,1,0
0.35,0.015411575213749284,0,0,0,1,1,0,1,1,0,1,1,0
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
0.2625,0.15085515328815924,0,1,0,0,0,1,1,1,0,1,0,0
0.4125,0.016891873428256675,0,0,0,1,0,1,1,1,0,1,1,0
0.4625,0.015468569817999833,0,0,0,1,0,1,1,0,0,1,1,0
0.35,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.2625,0.014931805565640218,1,0,0,1,1,0,1,1,0,1,1,0
0.0,0.015175789316712771,1,0,0,1,0,1,1,1,0,0,0,1
0.475,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.0125,0.04713766070721715,1,0,0,1,1,0,1,1,0,0,0,1
0.5875,0.10149724044618187,0,1,0,0,0,1,1,1,0,1,1,0
0.18125,0.028212719478023115,0,0,0,1,1,0,1,0,0,1,1,0
0.275,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.25,0.019177122834302632,0,0,0,1,1,0,1,0,0,1,1,0
0.2125,0.028220722145058292,0,0,0,1,1,0,1,1,0,1,1,0
0.2625,0.015468569817999833,0,0,0,1,0,1,1,1,0,1,1,0
0.88125,0.015126992566498259,0,0,0,1,0,1,1,1,0,1,1,0
0.3625,0.04098927018018883,0,0,1,0,0,1,1,0,0,1,1,0
0.3,0.4831284260198326,0,1,0,0,0,1,1,1,0,1,0,0
0.025,0.06104473451835265,0,0,0,1,1,0,1,0,0,1,0,0
0.2625,0.1434624456306609,0,0,1,0,0,1,1,0,0,1,1,0
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.40625,0.058694292654020104,0,0,1,0,0,1,1,0,0,1,1,0
0.40625,0.025374310111545468,1,0,1,0,1,0,1,1,0,1,1,0
0.675,0.15085515328815924,0,1,0,0,0,1,1,1,0,1,0,0
0.15,0.021942337075458514,1,0,0,1,0,1,1,0,0,1,1,0
0.0,0.015126992566498259,0,0,0,1,0,1,1,1,0,0,0,1
0.3,0.01393967004027879,1,0,0,1,0,1,1,1,0,1,1,0
0.0125,0.04364049521284361,1,0,0,1,1,0,1,0,0,0,0,1
0.5625,0.013614293309848433,0,0,0,1,0,1,1,1,0,1,1,0
0.4125,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.25,0.013760683560491965,0,0,0,1,0,1,1,1,0,1,1,0
0.5875,0.028302115124416098,0,0,0,1,1,0,1,0,0,1,1,0
0.3625,0.050748620223090936,1,0,1,0,1,0,1,0,0,1,1,0
0.3125,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.2875,0.02936744577509929,0,0,1,0,0,1,1,1,0,1,1,0
0.2375,0.051301584996521765,1,1,0,0,1,0,1,1,0,1,0,0
0.4625,0.10364429745562033,0,1,0,0,0,1,1,0,0,1,1,0
0.2,0.01798980030808316,0,0,0,1,0,1,1,1,0,1,1,0
0.3,0.15458810467956932,0,1,0,0,0,1,1,1,0,1,1,0
0.0,0.029757819776815374,0,0,0,1,1,0,1,0,0,0,0,1
0.275,0.015126992566498259,1,0,0,1,1,0,1,1,0,1,1,0
0.3,0.030937139635999665,1,0,0,1,1,0,1,0,0,1,1,0
0.2375,0.013175122557917838,0,0,0,1,0,1,1,1,0,1,1,0
0.225,0.022446505098674834,0,0,1,0,0,1,1,1,0,1,1,0
0.2375,0.07173122281533045,0,0,1,0,0,1,1,0,0,1,0,0
0.3375,0.015216388212891242,1,0,0,1,0,1,1,1,0,1,1,0
0.1125,0.06709553154495196,0,0,0,1,1,0,1,0,0,1,0,0
0.45625,0.050748620223090936,0,0,1,0,0,1,1,1,0,1,0,0
0.525,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.6375,0.02444717185746977,0,0,1,0,0,1,1,1,0,1,1,0
0.275,0.12999454257145598,1,1,0,0,1,0,1,0,0,1,1,0
0.69375,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.50625,0.028302115124416098,0,0,0,1,0,1,1,1,0,1,0,0
0.0,0.014273049437744325,0,0,0,1,0,1,1,1,0,0,0,1
0.6375,0.11980421963065935,0,1,0,0,0,1,1,1,0,1,0,0
0.2,0.015094396337354966,1,0,0,1,1,0,1,1,0,1,1,0
0.375,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.016908073949327893,0,0,0,1,0,1,1,1,0,0,0,1
0.1,0.13575255909676823,0,0,0,1,0,1,1,0,0,0,0,1
0.55,0.031425107138144774,0,0,0,1,0,1,1,1,0,1,0,0
0.5,0.030741952635141623,1,0,1,0,1,0,1,1,0,1,1,0
0.325,0.015175789316712771,0,0,0,1,0,1,1,1,0,1,1,0
0.2125,0.016908073949327893,0,0,0,1,0,1,1,1,0,1,1,0
0.0125,0.07746484096553544,0,0,0,1,0,1,1,0,0,1,0,0
0.1125,0.04006213192611313,1,0,0,1,0,1,1,1,0,1,0,0
0.0,0.10735285047192313,1,1,0,0,1,0,1,0,0,0,0,1
0.5625,0.05445717323939373,0,0,0,1,1,0,1,0,0,1,0,0
0.0,0.050602229972447406,0,1,0,0,0,1,1,1,0,0,0,1
0.35,0.11027245763075773,0,0,0,1,0,1,1,1,0,1,1,0
0.7625,0.06538764528744409,0,1,0,0,0,1,1,1,0,1,1,0
0.05,0.056848213999904744,0,0,0,1,0,1,1,0,0,1,0,0
0.0125,0.021730754366528396,1,0,0,1,1,0,1,0,0,1,0,0
0.2625,0.015468569817999833,0,0,0,1,0,1,1,1,0,1,1,0
0.7,0.05991421140938287,0,1,0,0,0,1,1,1,0,1,1,0
0.225,0.015330377421392339,0,0,0,1,0,1,1,0,0,1,0,0
0.0375,0.04970768794751499,0,0,0,1,0,1,1,0,0,0,0,1
0.625,0.05604306762136532,0,1,0,0,1,0,1,1,0,1,1,0
0.375,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.45,0.0,0,0,0,1,0,1,1,1,0,1,1,0
0.1,0.13575255909676823,0,0,0,1,1,0,1,0,0,0,0,1
0.0,0.02937564362913533,0,0,1,0,0,1,1,1,0,0,0,1
0.1125,0.061264319894317944,0,0,0,1,0,1,1,0,0,1,0,0
0.0125,0.0761229303346364,1,0,1,0,0,1,1,0,0,1,0,0
0.05,0.04298993693898376,1,0,0,1,1,0,1,1,0,1,0,0
0.0,0.09759350042902103,0,1,0,0,0,1,1,1,0,0,0,1
0.0125,0.030253985132996517,1,0,0,1,1,0,1,1,0,0,0,1
0.5625,0.051822148727810165,1,1,0,0,0,1,1,1,0,1,1,0
0.5,0.030253985132996517,0,0,0,1,0,1,1,0,0,1,0,0
0.45,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.4,0.025374310111545468,1,0,1,0,1,0,1,1,0,1,1,0
0.2375,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.2375,0.015330377421392339,1,0,0,1,1,0,1,0,0,1,1,0
0.0375,0.050748620223090936,1,0,1,0,0,1,1,0,0,1,0,0
0.55,0.05410739813385612,1,1,0,0,1,0,1,1,0,1,1,0
0.725,0.2859895551532101,1,1,0,0,1,0,1,1,0,1,1,0
0.0,0.015126992566498259,0,0,0,1,0,1,1,1,0,0,0,1
0.525,0.01640390592611157,0,0,0,1,0,1,1,1,0,1,0,0
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.3,0.025374310111545468,0,0,1,0,1,0,1,1,0,1,1,0
0.35,0.018542765081513996,0,0,0,1,0,1,1,1,0,1,1,0
0.1,0.13575255909676823,0,0,0,1,0,1,1,0,0,0,0,1
0.425,0.012678957201736696,0,0,0,1,0,1,1,1,0,1,1,0
0.56875,0.014102260811993537,0,0,0,1,0,1,1,1,0,1,1,0
0.225,0.015712553569072387,1,0,0,1,0,1,1,1,0,1,1,0
0.025,0.02042143996477265,0,0,0,1,1,0,1,1,0,1,0,0
0.4,0.030937139635999665,0,0,0,1,0,1,1,0,0,1,1,0
0.325,0.036670757786204655,1,0,0,1,0,1,1,1,0,1,1,0
0.2,0.015126992566498259,1,0,0,1,1,0,1,1,0,1,1,0
0.5,0.060507970265993034,1,1,0,0,0,1,1,1,0,1,1,0
0.3,0.013760683560491965,0,0,0,1,0,1,1,1,0,1,1,0
0.4375,0.04098927018018883,1,0,1,0,1,0,1,1,0,1,1,0
0.275,0.014151057562208049,0,0,0,1,0,1,1,1,0,1,1,0
0.375,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.0125,0.015126992566498259,0,0,0,1,0,1,1,1,0,0,0,1
0.3875,0.22109807522194713,1,1,0,0,1,0,1,0,0,1,1,0
0.3375,0.015468569817999833,1,0,0,1,1,0,1,1,0,1,1,0
0.525,0.05270049023167135,0,0,1,0,0,1,1,0,0,1,1,0
0.4,0.14891148113361488,1,1,0,0,1,0,1,1,0,1,1,0
0.375,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.2,0.015712553569072387,1,0,0,1,0,1,1,1,0,1,1,0
0.3375,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.6375,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
0.475,0.17566830077223786,1,1,0,0,0,1,1,0,0,1,1,0
0.275,0.01824998458022693,0,0,0,1,0,1,1,1,0,1,1,0
0.2375,0.020494635090094415,1,0,1,0,0,1,1,1,0,1,1,0
0.25625,0.014151057562208049,0,0,0,1,0,1,1,1,0,1,1,0
0.225,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.0375,0.04970768794751499,0,0,0,1,1,0,1,0,0,0,0,1
0.4375,0.16293234896625058,1,1,0,0,1,0,1,0,0,1,1,0
0.3625,0.015175789316712771,0,0,0,1,0,1,1,1,0,1,1,0
0.7375,0.026350245115835676,0,0,1,0,0,1,1,1,0,1,1,0
0.0625,0.061264319894317944,1,0,0,1,1,0,1,0,0,1,0,0
0.3,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.0,0.014736618564782174,0,0,0,1,1,0,1,1,0,0,0,1
0.55,0.050748620223090936,0,0,1,0,0,1,1,0,0,1,1,0
0.1,0.05123658772523604,1,0,1,0,1,0,1,1,0,1,0,0
0.2375,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.4125,0.023959204355324663,0,0,1,0,0,1,1,1,0,1,1,0
0.0125,0.028212719478023115,0,0,0,1,1,0,1,1,0,0,0,1
0.0125,0.030253985132996517,1,0,0,1,1,0,1,1,0,0,0,1
0.3625,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.275,0.013907073811135496,0,0,0,1,0,1,1,1,0,1,1,0
0.375,0.014102260811993537,0,0,0,1,0,1,1,1,0,1,1,0
0.55,0.17566830077223786,0,1,0,0,0,1,1,0,0,1,1,0
0.3125,0.015175789316712771,0,0,0,1,1,0,1,1,0,1,1,0
0.3,0.028302115124416098,1,0,1,0,1,0,1,1,0,1,0,0
0.4625,0.10257896680493714,1,1,0,0,0,1,1,0,0,1,0,0
0.675,0.050748620223090936,0,0,1,0,0,1,1,0,0,1,1,0
0.0,0.014151057562208049,0,0,0,1,0,1,1,1,0,0,0,1
0.3625,0.02042143996477265,0,0,0,1,1,0,1,0,0,1,0,0
0.775,0.051822148727810165,0,1,0,0,0,1,1,1,0,1,1,0
0.375,0.031425107138144774,0,0,0,1,0,1,1,0,0,1,1,0
0.5125,0.039452172548431745,0,0,0,1,1,0,1,1,0,1,0,0
0.3625,0.029757819776815374,1,0,0,1,1,0,1,1,0,1,0,0
0.0,0.15458810467956932,1,1,0,0,1,0,1,1,0,0,0,1
0.375,0.16883675574220638,1,1,0,0,1,0,1,1,0,1,1,0
0.4375,1.0,1,1,0,0,1,0,1,1,0,1,1,0
0.625,0.050748620223090936,1,0,1,0,1,0,1,1,0,1,0,0
0.0,0.015126992566498259,0,0,0,1,0,1,1,1,0,0,0,1
0.0375,0.061264319894317944,1,0,0,1,0,1,1,0,0,1,0,0
0.65,0.1554664461834305,0,1,0,0,0,1,1,0,0,1,0,0
0.5,0.0,0,1,0,0,0,1,1,1,0,1,1,0
0.0,0.015126992566498259,0,0,0,1,1,0,1,1,0,0,0,1
0.45,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.2,0.07746484096553544,0,0,0,1,0,1,1,0,0,1,0,0
0.3125,0.015175789316712771,1,0,0,1,0,1,1,0,0,1,1,0
0.725,0.2995388511917728,1,1,0,0,1,0,1,1,0,1,0,0
0.4375,0.2647385704347907,1,1,0,0,1,0,1,1,0,1,1,0
0.0,0.060507970265993034,0,1,0,0,0,1,1,1,0,0,0,1
0.3125,0.0,1,0,0,1,0,1,1,1,0,1,1,0
0.5125,0.0380614651673182,1,0,1,0,1,0,1,1,0,1,0,0
0.4625,0.057970539254838485,0,1,0,0,0,1,1,1,0,1,0,0
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.7875,0.15216446768991498,1,1,0,0,1,0,1,0,0,1,1,0
0.5625,0.015126992566498259,0,0,0,1,1,0,1,1,0,1,1,0
0.0,0.042254293698436224,0,0,1,0,0,1,1,1,0,0,0,1
0.0875,0.056848213999904744,0,0,0,1,0,1,1,0,0,1,0,0
0.4375,0.03952536767375352,1,0,0,1,1,0,1,0,0,1,0,0
0.8125,0.015126992566498259,0,0,0,1,0,1,1,1,0,1,1,0
0.35,0.015330377421392339,0,0,0,1,0,1,1,1,0,1,1,0
0.2,0.018542765081513996,0,0,0,1,0,1,1,1,0,1,1,0
0.2375,0.015712553569072387,1,0,0,1,0,1,1,1,0,1,1,0
0.0,0.050748620223090936,0,1,0,0,0,1,1,1,0,0,0,1
0.4125,0.016908073949327893,0,0,0,1,0,1,1,1,0,1,1,0
0.375,0.018542765081513996,1,0,0,1,0,1,1,1,0,1,1,0
0.275,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.525,0.025374310111545468,1,0,1,0,0,1,1,1,0,1,1,0
0.275,0.015126992566498259,1,0,0,1,1,0,1,1,0,1,1,0
0.325,0.15390495017656614,1,1,0,0,1,0,1,1,0,1,1,0
0.2375,0.17777475888549785,1,1,0,0,1,0,1,0,0,1,1,0
0.45,0.025130326360472913,0,0,1,0,0,1,1,1,0,1,1,0
0.3,0.01727404957593672,0,0,0,1,1,0,1,1,0,1,1,0
0.3,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.05410739813385612,0,1,0,0,0,1,1,1,0,0,0,1
0.29375,0.014110458666029575,0,0,0,1,0,1,1,1,0,1,1,0
0.025,0.29580589980036276,0,1,0,0,1,0,1,0,0,1,0,0
0.0,0.05953203526170282,1,1,0,0,0,1,1,1,0,0,0,1
0.625,0.4831284260198326,1,1,0,0,1,0,1,1,0,1,0,0
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.025,0.04538097769949478,1,0,0,1,0,1,1,1,0,0,0,1
0.2375,0.0,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.024105594605968193,1,0,1,0,1,0,1,1,0,0,0,1
0.0,0.015712553569072387,0,0,0,1,0,1,1,1,0,0,0,1
0.0115,0.29580589980036276,1,1,0,0,0,1,1,0,0,1,0,0
0.0,0.21642978772242535,1,1,0,0,1,0,1,1,0,0,0,1
0.2125,0.2125586439344078,1,1,0,0,1,0,1,0,0,1,1,0
0.375,0.04684488020593009,0,0,1,0,0,1,1,0,0,1,1,0
0.375,0.11111839809247648,1,1,0,0,1,0,1,1,0,1,1,0
0.3,0.16231419173453318,1,1,0,0,1,0,1,1,0,1,1,0
0.225,0.5121218935012878,1,1,0,0,1,0,1,0,0,1,0,0
0.325,0.050748620223090936,0,0,1,0,1,0,1,0,0,1,0,0
0.35,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.5375,0.05123658772523604,0,0,1,0,0,1,1,0,0,1,0,0
0.325,0.015330377421392339,1,0,0,1,1,0,1,1,0,1,1,0
0.3,0.050748620223090936,1,0,1,0,1,0,1,0,0,1,1,0
0.675,0.027326180120125887,0,0,1,0,0,1,1,1,0,1,1,0
0.3875,0.32179836714362564,1,1,0,0,1,0,1,1,0,1,0,0
0.5,0.2625265161540666,1,1,0,0,1,0,1,0,0,1,0,0
0.275,0.014151057562208049,0,0,0,1,0,1,1,1,0,1,1,0
0.3375,0.015411575213749284,0,0,0,1,0,1,1,1,0,1,1,0
0.375,0.024105594605968193,1,0,1,0,1,0,1,1,0,1,1,0
0.275,0.056604230248832196,1,0,1,0,1,0,1,0,0,1,0,0
0.1,0.13575255909676823,0,0,0,1,0,1,1,0,0,0,0,1
0.45,0.2647385704347907,1,1,0,0,1,0,1,1,0,1,1,0
0.7625,0.012174789178520372,0,0,0,1,0,1,1,1,0,1,1,0
0.45,0.025374310111545468,1,0,1,0,1,0,1,1,0,1,1,0
0.3875,0.04006213192611313,1,0,0,1,1,0,1,0,0,1,0,0
0.2,0.11316786160148591,1,1,0,0,1,0,1,1,0,1,0,0
0.025,0.04538097769949478,1,0,0,1,1,0,1,1,0,0,0,1
0.56875,0.055628295244541985,0,1,0,0,0,1,1,1,0,1,1,0
0.475,0.2995388511917728,0,1,0,0,0,1,1,1,0,1,0,0
0.2,0.03513366015444757,0,0,0,1,0,1,1,0,0,1,1,0
0.0125,0.2608674266467732,1,1,0,0,1,0,1,1,0,0,0,1
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
0.3625,0.12999454257145598,0,1,0,0,0,1,1,0,0,1,1,0
0.5125,0.2625265161540666,1,1,0,0,1,0,1,1,0,1,1,0
0.5625,0.015712553569072387,1,0,0,1,0,1,1,1,0,1,1,0
0.5625,0.06929138530460492,0,1,0,0,0,1,1,1,0,1,1,0
0.025,0.050748620223090936,1,0,1,0,0,1,1,0,0,1,0,0
0.3,0.5133418122566505,1,1,0,0,1,0,1,0,0,1,0,0
0.35,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.3125,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.45,0.025374310111545468,0,0,1,0,0,1,1,1,0,1,1,0
0.3,0.025374310111545468,1,0,1,0,1,0,1,1,0,1,1,0
0.5,0.025374310111545468,1,0,1,0,1,0,1,1,0,1,1,0
0.0125,0.031425107138144774,1,0,0,1,1,0,1,1,0,0,0,1
0.0375,0.031034733136428686,1,0,0,1,0,1,1,0,0,1,0,0
0.525,0.016908073949327893,0,0,0,1,0,1,1,1,0,1,1,0
0.2875,0.01800600082915438,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.06831545030031472,0,1,0,0,0,1,1,1,0,0,0,1
0.1875,0.014110458666029575,0,0,0,1,0,1,1,0,0,1,0,0
0.3125,0.034743286152731485,0,0,0,1,0,1,1,0,0,1,1,0
0.0,0.014102260811993537,0,0,0,1,0,1,1,1,0,0,0,1
0.35,0.018542765081513996,0,0,0,1,0,1,1,1,0,1,1,0
0.275,0.10735285047192313,1,1,0,0,1,0,1,1,0,1,0,0
0.475,0.025374310111545468,0,0,1,0,1,0,1,1,0,1,1,0
0.0,0.01537917417160685,1,0,0,1,1,0,1,1,0,0,0,1
0.0,0.01537917417160685,1,0,0,1,1,0,1,1,0,0,0,1
0.5,0.05445717323939373,0,0,0,1,0,1,1,0,0,1,0,0
0.3625,0.05410739813385612,0,0,1,0,0,1,1,0,0,1,1,0
0.5625,0.028212719478023115,0,0,0,1,1,0,1,1,0,1,0,0
0.4375,0.013760683560491965,0,0,0,1,0,1,1,1,0,1,1,0
0.0125,0.030253985132996517,0,0,0,1,0,1,1,1,0,0,0,1
0.375,0.014151057562208049,0,0,0,1,0,1,1,1,0,1,1,0
0.75,0.14687821814567664,1,1,0,0,1,0,1,0,0,1,1,0
0.0,0.014110458666029575,1,0,0,1,1,0,1,1,0,0,0,1
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.3,0.13526459159462315,1,1,0,0,1,0,1,1,0,1,1,0
